,year,type,country,age,species_,fecha_limpia,fatal,sex,latitud,longitud,fatal_N,fatal_Unknown,fatal_Y,age_jovenes,age_adultos,age_ancianos,type.1,species_.1,fecha_limpia.1,age_n_manual,age_n_log,age_n_raiz,age_n_box,age_minmax
26,2018,Unprovoked,brazil,34,Unespecific,Apr,Unknown,M,0,-53.2,0,1,0,0,1,0,7,3,0,0.07949538848205134,3.5263605246161616,5.830951894845301,7.0996926693035265,0.3837209302325581
27,2018,Unprovoked,australia,41,Unespecific,Apr,N,M,0,134.755,1,0,0,0,1,0,7,3,0,0.16089073731926065,3.713572066704308,6.4031242374328485,7.787508352596997,0.46511627906976744
28,2018,Unprovoked,australia,37,Unespecific,Apr,N,M,0,134.755,1,0,0,0,1,0,7,3,0,0.11437910941228391,3.6109179126442243,6.082762530298219,7.404632331573262,0.41860465116279066
29,2018,Unprovoked,bahamas,27,Tiger shark,Apr,N,M,1,-78.0000547,1,0,0,1,0,0,7,2,0,-0.0018999603551579575,3.295836866004329,5.196152422706632,6.313925056346614,0.3023255813953488
30,2018,Invalid,brazil,56,Tiger shark,Apr,N,M,0,-53.2,1,0,0,0,1,0,3,2,0,0.33530934197042345,4.02535169073515,7.483314773547883,9.040872891499236,0.6395348837209303
31,2018,Unprovoked,new caledonia,27,Unespecific,Apr,N,M,0,165.4880773,1,0,0,1,0,0,7,3,0,-0.0018999603551579575,3.295836866004329,5.196152422706632,6.313925056346614,0.3023255813953488
32,2018,Unprovoked,bahamas,12,Lemon shark,Apr,N,M,1,-78.0000547,1,0,0,1,0,0,7,1,0,-0.17631856500632076,2.4849066497880004,3.4641016151377544,4.014118284080704,0.12790697674418605
33,2018,Unprovoked,south africa,19,White shark,Apr,N,M,0,24.991639,1,0,0,1,0,0,7,4,0,-0.09492321616911145,2.9444389791664403,4.358898943540674,5.234668409736022,0.20930232558139536
34,2018,Unprovoked,usa,25,Tiger shark,Mar,N,M,1,-100.445882,1,0,0,1,0,0,7,2,8,-0.02515577430864633,3.2188758248682006,5.0,6.06575989245481,0.27906976744186046
35,2018,Unprovoked,australia,10,Unespecific,Mar,N,M,0,134.755,1,0,0,1,0,0,7,3,8,-0.19957437895980912,2.302585092994046,3.1622776601683795,3.58302947382199,0.10465116279069767
36,2018,Unprovoked,australia,69,Unespecific,Mar,N,M,0,134.755,1,0,0,0,0,1,7,3,8,0.48647213266809786,4.23410650459726,8.306623862918075,9.962100956081585,0.7906976744186046
37,2018,Unprovoked,australia,18,Unespecific,Mar,N,M,0,134.755,1,0,0,1,0,0,7,3,8,-0.10655112314585563,2.8903717578961645,4.242640687119285,5.08038032862004,0.19767441860465115
38,2018,Unprovoked,south africa,38,Tiger shark,Feb,N,M,0,24.991639,1,0,0,0,1,0,7,2,4,0.1260070163890281,3.6375861597263857,6.164414002968976,7.502744447095262,0.43023255813953487
39,2018,Unprovoked,australia,55,White shark,Feb,N,F,0,134.755,1,0,0,0,1,0,7,4,4,0.32368143499367924,4.007333185232471,7.416198487095663,8.964550975600854,0.627906976744186
40,2018,Provoked,australia,34,Unespecific,Feb,N,M,0,134.755,1,0,0,0,1,0,4,3,4,0.07949538848205134,3.5263605246161616,5.830951894845301,7.0996926693035265,0.3837209302325581
41,2018,Unprovoked,australia,35,Lemon shark,Feb,N,M,0,134.755,1,0,0,0,1,0,7,1,4,0.09112329545879554,3.5553480614894135,5.916079783099616,7.203188258363141,0.3953488372093023
42,2018,Invalid,australia,27,Lemon shark,Feb,N,F,0,134.755,1,0,0,1,0,0,3,1,4,-0.0018999603551579575,3.295836866004329,5.196152422706632,6.313925056346614,0.3023255813953488
43,2018,Invalid,brazil,46,Tiger shark,Feb,N,F,0,-53.2,1,0,0,0,1,0,3,2,4,0.21903027220298157,3.828641396489095,6.782329983125268,8.233822118168822,0.5232558139534883
44,2018,Unprovoked,ecuador,45,Lemon shark,Feb,N,M,0,-79.3666965,1,0,0,0,1,0,7,1,4,0.2074023652262374,3.8066624897703196,6.708203932499369,8.147141415836456,0.5116279069767442
45,2018,Invalid,australia,14,Unespecific,Feb,N,M,0,134.755,1,0,0,1,0,0,3,3,4,-0.15306275105283237,2.6390573296152584,3.7416573867739413,4.401298165473145,0.15116279069767444
46,2018,Unprovoked,australia,18,Lemon shark,Jan,N,M,0,134.755,1,0,0,1,0,0,7,1,5,-0.10655112314585563,2.8903717578961645,4.242640687119285,5.08038032862004,0.19767441860465115
47,2018,Unprovoked,new caledonia,40,Lemon shark,Jan,N,M,0,165.4880773,1,0,0,0,1,0,7,1,5,0.14926283034251647,3.6888794541139363,6.324555320336759,7.694116247373475,0.45348837209302323
48,2018,Unprovoked,australia,27,Grey shark,Jan,N,M,0,134.755,1,0,0,1,0,0,7,0,5,-0.0018999603551579575,3.295836866004329,5.196152422706632,6.313925056346614,0.3023255813953488
49,2018,Unprovoked,australia,28,White shark,Jan,N,M,0,134.755,1,0,0,1,0,0,7,4,5,0.009727946621586228,3.332204510175204,5.291502622129181,6.433604428309159,0.313953488372093
50,2018,Unprovoked,brazil,20,Lemon shark,Jan,N,M,0,-53.2,1,0,0,1,0,0,7,1,5,-0.08329530919236726,2.995732273553991,4.47213595499958,5.383838360482004,0.22093023255813954
51,2018,Unprovoked,australia,27,Unespecific,Jan,N,M,0,134.755,1,0,0,1,0,0,7,3,5,-0.0018999603551579575,3.295836866004329,5.196152422706632,6.313925056346614,0.3023255813953488
52,2017,Unprovoked,usa,54,Tiger shark,Dec,N,F,1,-100.445882,1,0,0,0,1,0,7,2,3,0.3120535280169351,3.9889840465642745,7.3484692283495345,8.887334884989867,0.6162790697674418
53,2017,Unprovoked,usa,35,Unespecific,Dec,N,F,1,-100.445882,1,0,0,0,1,0,7,3,3,0.09112329545879554,3.5553480614894135,5.916079783099616,7.203188258363141,0.3953488372093023
54,2017,Provoked,malaysia,24,Lemon shark,Dec,N,M,1,102.2656823,1,0,0,1,0,0,4,1,3,-0.036783681285390515,3.1780538303479458,4.898979485566356,5.936887022671936,0.26744186046511625
55,2017,Unprovoked,bahamas,25,Unespecific,Dec,N,F,1,-78.0000547,1,0,0,1,0,0,7,3,3,-0.02515577430864633,3.2188758248682006,5.0,6.06575989245481,0.27906976744186046
56,2017,Unprovoked,costa rica,26,Tiger shark,Nov,N,M,1,-84.0739102,1,0,0,1,0,0,7,2,11,-0.013527867331902144,3.258096538021482,5.0990195135927845,6.191371446042166,0.2906976744186046
57,2017,Unprovoked,costa rica,49,Tiger shark,Nov,Y,F,1,-84.0739102,0,0,1,0,1,0,7,2,11,0.2539139931332141,3.8918202981106265,7.0,8.48683518430107,0.5581395348837209
58,2017,Sea Disaster,libya,27,Tiger shark,Nov,Y,M,1,18.1236723,0,0,1,1,0,0,6,2,11,-0.0018999603551579575,3.295836866004329,5.196152422706632,6.313925056346614,0.3023255813953488
59,2017,Unprovoked,usa,25,White shark,Nov,N,M,1,-100.445882,1,0,0,1,0,0,7,4,11,-0.02515577430864633,3.2188758248682006,5.0,6.06575989245481,0.27906976744186046
60,2017,Unprovoked,usa,14,Unespecific,Nov,N,F,1,-100.445882,1,0,0,1,0,0,7,3,11,-0.15306275105283237,2.6390573296152584,3.7416573867739413,4.401298165473145,0.15116279069767444
61,2017,Unprovoked,Unknown,24,Unespecific,Nov,N,M,1,-77.36195598496681,1,0,0,1,0,0,7,3,11,-0.036783681285390515,3.1780538303479458,4.898979485566356,5.936887022671936,0.26744186046511625
62,2017,Unprovoked,australia,25,Unespecific,Nov,N,M,0,134.755,1,0,0,1,0,0,7,3,11,-0.02515577430864633,3.2188758248682006,5.0,6.06575989245481,0.27906976744186046
63,2017,Unprovoked,cuba,22,Tiger shark,Nov,Y,M,1,-80.8328748,0,0,1,1,0,0,7,2,11,-0.06003949523887889,3.091042453358316,4.69041575982343,5.668426724383542,0.24418604651162792
64,2017,Unprovoked,australia,7,Tiger shark,Oct,N,M,0,134.755,1,0,0,1,0,0,7,2,12,-0.23445809989004168,1.9459101490553132,2.6457513110645907,2.8171618157744365,0.06976744186046513
65,2017,Unprovoked,australia,31,Unespecific,Oct,N,M,0,134.755,1,0,0,0,1,0,7,3,12,0.044611667551818786,3.4339872044851463,5.5677643628300215,6.776989545291685,0.34883720930232553
66,2017,Unprovoked,usa,27,Unespecific,Oct,N,M,1,-100.445882,1,0,0,1,0,0,7,3,12,-0.0018999603551579575,3.295836866004329,5.196152422706632,6.313925056346614,0.3023255813953488
67,2017,Unprovoked,mauritius,27,Unespecific,Oct,N,M,0,57.5703566,1,0,0,1,0,0,7,3,12,-0.0018999603551579575,3.295836866004329,5.196152422706632,6.313925056346614,0.3023255813953488
68,2017,Unprovoked,usa,17,Unespecific,Oct,N,M,1,-100.445882,1,0,0,1,0,0,7,3,12,-0.11817903012259982,2.833213344056216,4.123105625617661,4.9204987475712345,0.18604651162790697
69,2017,Unprovoked,usa,60,Unespecific,Oct,N,F,1,-100.445882,1,0,0,0,0,1,7,3,12,0.38182096987740016,4.0943445622221,7.745966692414834,9.33772223524818,0.686046511627907
70,2017,Unprovoked,australia,15,White shark,Oct,N,F,0,134.755,1,0,0,1,0,0,7,4,12,-0.1414348440760882,2.70805020110221,3.872983346207417,4.581659276135893,0.16279069767441862
71,2017,Unprovoked,new zealand,27,Unespecific,Oct,N,M,0,172.8344077,1,0,0,1,0,0,7,3,12,-0.0018999603551579575,3.295836866004329,5.196152422706632,6.313925056346614,0.3023255813953488
72,2017,Unprovoked,usa,27,Tiger shark,Oct,N,M,1,-100.445882,1,0,0,1,0,0,7,2,12,-0.0018999603551579575,3.295836866004329,5.196152422706632,6.313925056346614,0.3023255813953488
73,2017,Unprovoked,usa,54,Tiger shark,Oct,N,M,1,-100.445882,1,0,0,0,1,0,7,2,12,0.3120535280169351,3.9889840465642745,7.3484692283495345,8.887334884989867,0.6162790697674418
74,2017,Unprovoked,usa,40,Unespecific,Oct,N,F,1,-100.445882,1,0,0,0,1,0,7,3,12,0.14926283034251647,3.6888794541139363,6.324555320336759,7.694116247373475,0.45348837209302323
75,2017,Invalid,south africa,31,Tiger shark,Oct,Unknown,M,0,24.991639,0,1,0,0,1,0,3,2,12,0.044611667551818786,3.4339872044851463,5.5677643628300215,6.776989545291685,0.34883720930232553
76,2017,Unprovoked,usa,27,Unespecific,Sep,N,M,1,-100.445882,1,0,0,1,0,0,7,3,13,-0.0018999603551579575,3.295836866004329,5.196152422706632,6.313925056346614,0.3023255813953488
77,2017,Unprovoked,australia,27,White shark,Sep,N,M,0,134.755,1,0,0,1,0,0,7,4,13,-0.0018999603551579575,3.295836866004329,5.196152422706632,6.313925056346614,0.3023255813953488
78,2017,Invalid,usa,33,Tiger shark,Sep,Unknown,M,1,-100.445882,0,1,0,0,1,0,3,2,13,0.06786748150530716,3.4965075614664802,5.744562646538029,6.994228303440125,0.37209302325581395
79,2017,Unprovoked,usa,27,Tiger shark,Sep,N,M,1,-100.445882,1,0,0,1,0,0,7,2,13,-0.0018999603551579575,3.295836866004329,5.196152422706632,6.313925056346614,0.3023255813953488
80,2017,Unprovoked,usa,27,Unespecific,Sep,N,M,1,-100.445882,1,0,0,1,0,0,7,3,13,-0.0018999603551579575,3.295836866004329,5.196152422706632,6.313925056346614,0.3023255813953488
81,2017,Unprovoked,spain,13,Lemon shark,Sep,N,M,1,-4.8379791,1,0,0,1,0,0,7,1,13,-0.16469065802957655,2.5649493574615367,3.605551275463989,4.212483084143039,0.13953488372093023
82,2017,Unprovoked,usa,28,Unespecific,Sep,N,M,1,-100.445882,1,0,0,1,0,0,7,3,13,0.009727946621586228,3.332204510175204,5.291502622129181,6.433604428309159,0.313953488372093
83,2017,Invalid,south africa,25,Unespecific,Sep,Unknown,M,0,24.991639,0,1,0,1,0,0,3,3,13,-0.02515577430864633,3.2188758248682006,5.0,6.06575989245481,0.27906976744186046
84,2017,Unprovoked,samoa,27,Unespecific,Sep,N,M,0,-172.12005,1,0,0,1,0,0,7,3,13,-0.0018999603551579575,3.295836866004329,5.196152422706632,6.313925056346614,0.3023255813953488
85,2017,Boating,australia,27,White shark,Sep,N,M,0,134.755,1,0,0,1,0,0,1,4,13,-0.0018999603551579575,3.295836866004329,5.196152422706632,6.313925056346614,0.3023255813953488
86,2017,Unprovoked,usa,18,Tiger shark,Sep,N,M,1,-100.445882,1,0,0,1,0,0,7,2,13,-0.10655112314585563,2.8903717578961645,4.242640687119285,5.08038032862004,0.19767441860465115
87,2017,Unprovoked,australia,27,Unespecific,Sep,N,M,0,134.755,1,0,0,1,0,0,7,3,13,-0.0018999603551579575,3.295836866004329,5.196152422706632,6.313925056346614,0.3023255813953488
88,2017,Unprovoked,australia,35,White shark,Sep,N,M,0,134.755,1,0,0,0,1,0,7,4,13,0.09112329545879554,3.5553480614894135,5.916079783099616,7.203188258363141,0.3953488372093023
89,2017,Unprovoked,solomon islands,27,Unespecific,Sep,N,M,0,159.1070693851845,1,0,0,1,0,0,7,3,13,-0.0018999603551579575,3.295836866004329,5.196152422706632,6.313925056346614,0.3023255813953488
90,2017,Unprovoked,south africa,27,Unespecific,Sep,Y,M,0,24.991639,0,0,1,1,0,0,7,3,13,-0.0018999603551579575,3.295836866004329,5.196152422706632,6.313925056346614,0.3023255813953488
91,2017,Unprovoked,japan,42,Unespecific,Sep,N,M,1,139.2394179,1,0,0,0,1,0,7,3,13,0.17251864429600483,3.7376696182833684,6.48074069840786,7.8794524631908,0.4767441860465116
92,2017,Unprovoked,usa,27,Unespecific,Sep,N,M,1,-100.445882,1,0,0,1,0,0,7,3,13,-0.0018999603551579575,3.295836866004329,5.196152422706632,6.313925056346614,0.3023255813953488
93,2017,Unprovoked,usa,27,Unespecific,Sep,N,F,1,-100.445882,1,0,0,1,0,0,7,3,13,-0.0018999603551579575,3.295836866004329,5.196152422706632,6.313925056346614,0.3023255813953488
94,2017,Unprovoked,usa,17,Unespecific,Sep,N,M,1,-100.445882,1,0,0,1,0,0,7,3,13,-0.11817903012259982,2.833213344056216,4.123105625617661,4.9204987475712345,0.18604651162790697
95,2017,Unprovoked,australia,37,White shark,Aug,N,M,0,134.755,1,0,0,0,1,0,7,4,1,0.11437910941228391,3.6109179126442243,6.082762530298219,7.404632331573262,0.41860465116279066
96,2017,Unprovoked,usa,3,Unespecific,Aug,N,F,1,-100.445882,1,0,0,1,0,0,7,3,1,-0.2809697277970184,1.0986122886681098,1.7320508075688772,1.3471191244379541,0.023255813953488372
97,2017,Invalid,spain,11,Tiger shark,Aug,Unknown,F,1,-4.8379791,0,1,0,1,0,0,3,2,1,-0.18794647198306494,2.3978952727983707,3.3166247903554,3.804859608483185,0.11627906976744187
98,2017,Unprovoked,new zealand,27,Unespecific,Aug,N,M,0,172.8344077,1,0,0,1,0,0,7,3,1,-0.0018999603551579575,3.295836866004329,5.196152422706632,6.313925056346614,0.3023255813953488
99,2017,Unprovoked,usa,69,White shark,Aug,N,M,1,-100.445882,1,0,0,0,0,1,7,4,1,0.48647213266809786,4.23410650459726,8.306623862918075,9.962100956081585,0.7906976744186046
100,2017,Unprovoked,bahamas,27,Unespecific,Aug,N,M,1,-78.0000547,1,0,0,1,0,0,7,3,1,-0.0018999603551579575,3.295836866004329,5.196152422706632,6.313925056346614,0.3023255813953488
101,2017,Unprovoked,usa,13,Tiger shark,Aug,N,M,1,-100.445882,1,0,0,1,0,0,7,2,1,-0.16469065802957655,2.5649493574615367,3.605551275463989,4.212483084143039,0.13953488372093023
102,2017,Unprovoked,egypt,20,White shark,Aug,N,F,1,29.2675469,1,0,0,1,0,0,7,4,1,-0.08329530919236726,2.995732273553991,4.47213595499958,5.383838360482004,0.22093023255813954
103,2017,Provoked,usa,34,Unespecific,Aug,N,M,1,-100.445882,1,0,0,0,1,0,4,3,1,0.07949538848205134,3.5263605246161616,5.830951894845301,7.0996926693035265,0.3837209302325581
104,2017,Boating,usa,27,White shark,Aug,N,M,1,-100.445882,1,0,0,1,0,0,1,4,1,-0.0018999603551579575,3.295836866004329,5.196152422706632,6.313925056346614,0.3023255813953488
105,2017,Unprovoked,usa,15,Unespecific,Jul,N,M,1,-100.445882,1,0,0,1,0,0,7,3,6,-0.1414348440760882,2.70805020110221,3.872983346207417,4.581659276135893,0.16279069767441862
106,2017,Invalid,usa,10,Lemon shark,Jul,Unknown,M,1,-100.445882,0,1,0,1,0,0,3,1,6,-0.19957437895980912,2.302585092994046,3.1622776601683795,3.58302947382199,0.10465116279069767
107,2017,Unprovoked,usa,12,Unespecific,Jul,N,F,1,-100.445882,1,0,0,1,0,0,7,3,6,-0.17631856500632076,2.4849066497880004,3.4641016151377544,4.014118284080704,0.12790697674418605
108,2017,Unprovoked,bahamas,27,Unespecific,Jul,N,F,1,-78.0000547,1,0,0,1,0,0,7,3,6,-0.0018999603551579575,3.295836866004329,5.196152422706632,6.313925056346614,0.3023255813953488
